Field #,Field Width,Field Name,Values,Description / Comments,NameNum
1,1,Enterprise Flag,1 = Fannie Mae 2 = Freddie Mac,Flag identifying whether the mortgage was purchased by Fannie Mae or by Freddie Mac. Fannie Mae and Freddie Mac are collectively referred to as the Enterprises in this document.,
2,7,Record Number,"",Sequential numerical identifier for the property not related to the record number in the multifamily National Files.,
3,2,US Postal State Code,See the STATE/COUNTY file for a list of State codes and names. 00 = Missing,"Two-digit numerical American National Standards Institute (ANSI) Federal Information Processing Series (FIPS) code, with a leading zero when applicable, indicating where the property is located.",
4,5,Metropolitan Statistical Area (MSA) Code,See the MSA file for a list of MSA codes and names. 00000 = Missing code 99999 = In a non-metropolitan area Other = specific metropolitan area,"Five-digit numerical code for the property’s MSA if the property is located in an MSA, based on MSA definitions in effect on January 1, 2020.",
5,3,County - 2010 Census,See the STATE/COUNTY file for a list of codes and County/Parish/Borough names listed by FIPS state code. 000 = Missing,"Three-digit numerical FIPS county code, with leading zeros when applicable, indicating where the property is located.",
6,6,Census Tract - 2010 Census,3-6 digits with 2 implied decimals Example of data format: 002701=Census tract 27.01 000000 = Missing,"The tract number as used in the 2010 decennial census, with leading zeros when applicable, indicating where the property is located.",
7,6,2010 Census Tract - Percent Minority,Example of data format: 66.95 = 66.95 percent of the census tract population is minority. 9999.0 = Not available,"The percentage of the census tract’s population that is classified as belonging to a minority group, based on the 2010 decennial census.",
8,6,2010 Census Tract - Median Income,999999 = Not available,"The 2020 median family income for the census tract (in whole dollars) based on 2010 Census geography and the most recent American Community Survey (ACS) 5-year estimates available on January 1, 2020. The values for this field are supplied by FHFA.",
9,6,Local Area Median Income,999999 = Not available,"The 2020 MSA median family income, or for properties outside MSAs, the county median family income or the State non- metropolitan median income, whichever is greater, based on 2010 Census geography and the most recent ACS 5-year estimates available on January 1, 2020. The values for this field are supplied by FHFA.",
10,8,Tract Income Ratio,Example of data format: 1.7500 = The tract income is 175 percent of the local area median income. 9999.00 = Not able to code,The ratio of the 2010 census tract median income to the local area median income. This field is not required for calculating performance for the multifamily housing goal or subgoal. It is provided here for informational purposes.,
