Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
02,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,12,,
03,Pool ID,Character,6,Col4,,The Ginnie Mae unique identifier for the HMBS Platinum Pool; this is assigned by Ginnie Mae at pool issuance.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,12,,
04,Pool Indicator,Character,1,,,"Identifies the Issue Type of the pool. This is always “H” for
HMBS Platinum Pools.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,12,,
05,Pool Type,Character,2,,,"The type of HMBS Platinum Pool. Appendix 1 provides a
listing of pool types.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,12,,
06,Not Available,Numeric,2,,,"Values are:
1 = Expected Average Mortgage Interest Rate
2 = Remaining Property Charges Set Aside Amount
3 = Eligible Non-Borrowing Spouse",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,12,,
07,UPB of Participations,Numeric,14,11.2,,"The total Unpaid Principal Balance (UPB) of the
participations associated with a loan that has the Not Available
Value, for the pools included in the HMBS Platinum Pool.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,12,,
08,UPB of Participations as % of Pool UPB,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has the Not Available Value, expressed as a
percentage of the HMBS Platinum Pool’s UPB. This UPB
percentage is calculated by dividing the total participation
UPB of the Not Available Condition by the HMBS Platinum
Pool’s UPB..",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,12,,
01,Record Type = 13,Character,2,,,"Joint-Single Loan Indicator / Youngest Borrower or Co-
borrower Sex Stratification",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
02,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
03,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the HMBS Platinum
Pool; this is assigned by Ginnie Mae at pool issuance.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
04,Pool Indicator,Character,1,,,"Identifies the Issue Type of the pool. This is always “H” for
HMBS Platinum Pools.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
05,Pool Type,Character,2,,,"The type of HMBS Platinum Pool. Appendix 1 provides a
listing of pool types.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
06,Joint/Single Loan Indicator,Numeric,1,,,"Joint/Single Loan Indicator. Values are:
1 = Single
2 = Joint",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
07,Youngest Borrower/Co-borrower Sex,Character,1,,,"Sex of the youngest borrower/co-borrower. Values are:
F = Female
M = Male
9 = Not Available",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
08,UPB of Participations,Numeric,14,11.2,,"The total Unpaid Principal Balance (UPB) of the
participations associated with a loan that has the Joint-Single
Loan Indicator value/Sex value combination, for the pools
included in the HMBS Platinum Pool.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
09,UPB of Participations as % of Pool UPB,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has the Joint-Single Loan Indicator value/Sex value
combination, expressed as a percentage of the HMBS
Platinum Pool’s UPB. This UPB percentage is calculated by
dividing the total participation UPB of the given combination
(Joint-Single Loan Indicator value/Sex value) by the HMBS
Platinum Pool’s UPB.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,13,,
01,Record Type = 14,Character,2,,,"Rural Area Stratification. Pools with participations that are
associated with loans identified as being in rural areas based
on Rural Urban Commuting Area (RUCA) areas (US
Department of Agriculture Rural Urban Commuting Area
Codes). Not populated/provided for new issuance disclosures.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,14,,
02,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,14,,
03,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned
by Ginnie Mae at pool issuance.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,14,,
04,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is “H”.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,14,,
05,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,14,,
06,Rural Area,Character,1,,,"Values are:
Y = Rural Area (RUCA Code 4-10)
N = Not Rural Area (RUCA Code 1-3)
9 = Not Available",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,14,,
07,UPB of Participations,Numeric,14,11.2,,"The total Unpaid Principal Balance (UPB) of the
participations in the pool associated with a loan that has the
Rural Area value.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,14,,
08,UPB of Participations as % of Pool UPB,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has the Rural Area value, expressed as a percentage
of the Pool’s UPB. This UPB percentage is calculated by
dividing the total participation UPB of the given condition
(Rural Area value) by the Pool’s UPB.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,14,,
01,Record Type = PTS,Character,3,,,File Trailer Record,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PTS,,
02,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PTS,,
03,File Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PTS,,
04,Detail Record Count,Numeric,12,,,"Control total of the total number of HMBS Platinum Pool
Supplemental records in the file. This count will not
include PHS or PTS records.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PTS,,
